feat_stid,tgt_stid,tgt_LATITUDE,tgt_LONGITUDE,feat_LATITUDE,feat_LONGITUDE,dist_km
70200526647,70262800105,61.867,-162.033,62.06167,-163.3,69.7433580314525
70200526647,70305626635,62.09528,-163.68194,62.06167,-163.3,20.2577323959576
70200526647,99999926656,61.3465,-164.0769,62.06167,-163.3,89.546106045463
70200626502,70222026501,64.73667,-156.93444,64.3208,-158.7326,97.7385578481207
70203526704,70204026703,63.76667,-171.73278,63.68667,-170.49333,61.7199853418805
70204026703,70203526704,63.68667,-170.49333,63.76667,-171.73278,61.7199853418805
70207026627,70388800111,64.37,-161.224,63.88333,-160.8,57.9588231559658
70207026627,72038200123,63.49,-162.11,63.88333,-160.8,78.0735918321292
70207526644,70305126521,62.18333,-159.76667,62.65,-160.18333,56.2135974669395
70208426650,70305626635,62.09528,-163.68194,62.78528,-164.49111,87.3867911702077
70212026646,70133899999,61.5333333,-165.5833333,61.78333,-166.03333,36.6059230210778
70212026646,70305400108,61.85,-165.567,61.78333,-166.03333,25.6161849546235
70218526622,70305726653,60.54139,-165.08722,60.38333,-166.2,63.5526622617027
70219026615,70219599999,60.6833333,-161.9833333,60.78497,-161.82931,14.0807152051827
70219599999,70219026615,60.78497,-161.82931,60.6833333,-161.9833333,14.0807152051827
70222026501,70200626502,64.3208,-158.7326,64.73667,-156.93444,97.7385578481207
70222026501,70262726561,64.72722,-155.46972,64.73667,-156.93444,69.6057038402038
70222326602,70199526628,64.55044,-163.00716,64.935,-161.155,97.8320728841485
70222326602,70388800111,64.37,-161.224,64.935,-161.155,62.9814035671925
70222326602,70389199999,64.6166666,-162.2666666,64.935,-161.155,63.5360292802842
70231026510,70231526536,62.89417,-155.97639,62.9574,-155.61009,19.849004667905
70231026510,70262500104,63.017,-154.367,62.9574,-155.61009,63.1990186019934
70231526536,70231026510,62.9574,-155.61009,62.89417,-155.97639,19.849004667905
70231526536,70262500104,63.017,-154.367,62.89417,-155.97639,82.5963745432031
70232026516,70305126521,62.18333,-159.76667,61.58159,-159.54304,68.0049555911466
70232026516,70305226652,61.53639,-160.34139,61.58159,-159.54304,42.623333859931
70232026516,70305326654,61.775,-161.31944,61.58159,-159.54304,96.2514399023377
70232526443,70000126492,60.78351,-148.84839,61.57194,-149.54056,95.303495155047
70232526443,70251026528,62.31978,-150.09744,61.57194,-149.54056,88.2059705752458
