STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,COUNTRY,US_State
1467099999,58.6333333,9.15,5,"LYNGOR FYR, NO",FM-12,99999,NO,-
1468099999,60.1833333,12,148,"KONGSVINGER, NO",FM-12,99999,NO,-
1469099999,60.1666666,10.25,140,"HONEFOSS HOYBY, NO",FM-12,99999,NO,-
1470099999,59.3833333,9.2,93,"GVARV, NO",FM-12,99999,NO,-
1470399999,59.565683,9.212222,19.2,"NOTODDEN, NO",FM-15,99999,NO,-
1471099999,60.05,9.15,275,"VEGGLI II, NO",FM-12,99999,NO,-
1473099999,59.6166666,9.6333333,173,"KONGSBERG BRANNSTASJON, NO",FM-12,99999,NO,-
1476099999,58.85,9.55,5,"JOMFRULAND FYR, NO",FM-12,99999,NO,-
1477099999,59.7166666,10.15,193,"KONNERUD, NO",FM-12,99999,NO,-
1478099999,58.9666666,10.15,15,"SVENNER LH, NO",FM-12,99999,NO,-
1480099999,59.75,10.1333333,8,"DRAMMEN BERSKOG, NO",FM-12,99999,NO,-
1481099999,59.2333333,10.35,26,"MELSOM, NO",FM-12,99999,NO,-
1482099999,59.0333333,10.5166666,7.7,"FERDER LH, NO",FM-12,99999,NO,-
1482599999,59.186703,10.258628,87.17,"TORP, NO",FM-15,99999,NO,-
1483099999,59.1833333,10.2666666,88,"TORP, NO",FM-12,99999,NO,-
1484099999,59.9166666,11.5833333,128,"AURSKOG, NO",FM-12,99999,NO,-
1484399999,59.3166667,10.45,15,"OSEBERG, NO",FM-15,99999,NO,-
1485099999,59.6166666,10.2166666,60,"DANDE GALLEBERG, NO",FM-12,99999,NO,-
1486099999,59.85,10.4333333,163,"ASKER, NO",FM-12,99999,NO,-
1488099999,60.1166666,10.8333333,170,"HAKADAL, NO",FM-12,99999,NO,-
1488199999,61.206389,1.828889,142,"STATFJORD B OIL PLATFORM, NO",FM-15,99999,NO,-
1489099999,60.05,10.6833333,360,"BJORNHOLT, NO",FM-12,99999,NO,-
1490099999,59.9833333,10.6833333,528,"TRYVANNSHOGDA, NO",FM-12,99999,NO,-
1492099999,59.95,10.7166666,97,"OSLO BLINDERN, NO",FM-12,99999,NO,-
1493099999,59.2833333,11.1166666,57,"SARPSBORG, NO",FM-12,99999,NO,-
1494099999,59.378889,10.785556,53.03,"RYGGE, NO",FM-12,99999,NO,-
1495099999,59.15,10.8333333,10,"STROMTANGEN FYR, NO",FM-12,99999,NO,-
