var_name,Max_RH_pct,Rel_Hum_pct,Mean_RH_pct,ref_date
PRD000624H04,89,45,67,
PRD000625H04,87,37,61,
PRD000626H04,84,32,61,
PRD000627H04,75,34,53,
PRD000628H04,71,26,49,
PRD000629H04,70,32,46,
PRD000630H04,81,26,58,
PRD000631H04,93,46,69,
PRD000632H04,90,52,69,
PRD000633H04,100,47,59,
PRD000634H04,100,87,98,
PRD000635H04,87,63,75,
PRD000636H04,80,31,54,
PRD000637H04,68,20,35,
PRD000638H04,73,25,53,
PRD000639H04,60,29,43,
PRD000640H04,81,32,52,
PRD000641H04,84,24,50,
PRD000642H04,87,34,62,
PRD000643H04,83,35,57,
PRD000644H04,93,52,73,
PRD000645H04,77,31,51,
PRD000646H04,84,33,54,
PRD000647H04,78,37,58,
PRD000648H04,93,35,67,
PRD000649H04,97,52,78,
PRD000650H04,93,59,82,
PRD000651H04,77,53,66,
PRD000652H04,86,49,67,
PRD000653H04,100,43,64,
PRD000654H04,100,96,98,
PRD000655H04,100,92,96,
PRD000656H04,97,52,78,
PRD000657H04,97,69,82,
PRD000658H04,93,61,77,
PRD000659H04,74,37,58,
PRD000660H04,74,43,60,
PRD000661H04,100,41,72,
PRD000662H04,100,73,88,
PRD000663H04,93,63,78,
PRD000664H04,86,45,64,
PRD000665H04,83,30,54,
PRD000666H04,54,35,46,
PRD000667H04,100,36,71,
PRD000668H04,100,78,92,
PRD000669H04,100,84,94,
PRD000670H04,84,34,61,
PRD000671H04,80,31,50,
PRD000672H04,63,21,42,
PRD000673H04,71,26,46,
PRD000674H04,89,44,67,
PRD000675H04,77,36,56,
PRD000676H04,65,27,47,
PRD000677H04,58,26,30,
PRD000678H04,100,60,81,
PRD000679H04,100,89,98,
PRD000680H04,100,70,89,
PRD000681H04,93,41,65,
PRD000682H04,57,21,36,
PRD000683H04,100,56,87,
PRD000684H04,93,56,74,
PRD000685H04,86,25,39,
PRD000686H04,83,26,57,
PRD000687H04,93,44,71,
PRD000688H04,92,29,59,
PRD000689H04,100,26,53,
PRD000690H04,100,55,86,
PRD000691H04,76,39,61,
PRD000692H04,100,74,90,
PRD000693H04,100,50,75,
PRD000694H04,76,26,54,
PRD000695H04,76,37,55,
PRD000696H04,47,30,37,
PRD000697H04,93,30,47,
PRD000698H04,90,50,73,
PRD000699H04,71,28,44,
PRD000700H04,61,37,49,
PRD000701H04,97,62,82,
PRD000702H04,100,79,92,
PRD000703H04,77,44,65,
PRD000704H04,96,62,79,
PRD000705H04,96,64,75,
PRD000706H04,67,41,54,
PRD000707H04,62,44,53,
PRD000708H04,92,28,55,
PRD000709H04,62,25,41,
PRD000710H04,73,38,55,
PRD000711H04,97,66,82,
PRD000712H04,93,43,66,
PRD000713H04,100,43,76,
PRD000714H04,100,58,79,
PRD000715H04,100,73,91,
PRD000716H04,100,43,61,
PRD000717H04,91,55,77,
PRD000718H04,81,50,62,
PRD000719H04,100,32,56,
PRD000720H04,97,86,93,
PRD000721H04,93,43,67,
PRD000722H04,93,56,81,
PRD000723H04,100,35,78,
PRD000724H04,93,59,75,
PRD000725H04,64,34,49,
PRD000726H04,100,54,83,
PRD000727H04,100,58,80,
PRD000728H04,90,63,77,
PRD000729H04,82,33,52,
PRD000730H04,73,27,41,
PRD000731H04,89,38,64,
PRD000732H04,79,34,46,
PRD000733H04,100,33,60,
PRD000734H04,97,60,87,
PRD000735H04,96,35,61,
PRD000736H04,93,44,67,
PRD000737H04,100,43,67,
PRD000738H04,96,48,70,
PRD000739H04,61,27,40,
PRD000740H04,70,24,38,
PRD000741H04,70,36,50,
PRD000742H04,92,32,57,
PRD000743H04,93,41,70,
PRD000744H04,97,66,84,
PRD000745H04,100,73,83,
PRD000746H04,83,38,59,
PRD000747H04,76,43,63,
PRD000748H04,100,49,66,
PRD000749H04,100,57,80,
PRD000750H04,67,44,55,
PRD000751H04,100,64,86,
PRD000752H04,100,60,75,
PRD000753H04,73,53,59,
PRD000754H04,100,54,72,
PRD000755H04,100,68,90,
PRD000756H04,93,48,67,
PRD000757H04,90,36,56,
PRD000758H04,49,21,35,
PRD000759H04,72,39,56,
PRD000760H04,79,61,70,
PRD000761H04,100,65,83,
PRD000762H04,100,73,90,
PRD000763H04,78,49,63,
PRD000764H04,73,55,63,
PRD000765H04,97,45,67,
PRD000766H04,79,41,64,
PRD000767H04,82,52,65,
PRD000768H04,100,65,87,
PRD000769H04,100,89,97,
PRD000770H04,100,81,95,
PRD000771H04,100,93,99,
PRD000772H04,96,62,81,
PRD000773H04,100,45,77,
PRD000774H04,100,96,99,
PRD000866H04,75,54,65,
PRD000867H04,88,42,57,
PRD000868H04,75,40,55,
PRD000869H04,63,40,50,
PRD000870H04,90,45,70,
PRD000871H04,87,54,71,
PRD000872H04,64,31,48,
PRD000873H04,65,23,44,
PRD000874H04,87,44,69,
PRD000875H04,82,50,68,
PRD000876H04,87,40,60,
PRD000877H04,84,53,71,
PRD000878H04,87,48,68,
PRD000879H04,78,48,64,
PRD000880H04,75,21,52,
PRD000881H04,62,26,42,
PRD000882H04,66,38,53,
PRD000883H04,97,42,72,
PRD000884H04,100,71,89,
PRD000885H04,97,56,79,
PRD000886H04,84,30,64,
PRD000887H04,84,45,70,
PRD000888H04,81,45,64,
PRD000889H04,93,64,77,
PRD000890H04,97,87,93,
PRD000891H04,94,61,81,
PRD000892H04,94,57,75,
PRD000893H04,90,54,69,
PRD000894H04,84,45,59,
PRD000895H04,64,21,40,
PRD000896H04,88,28,49,
PRD000897H04,94,61,82,
PRD000898H04,97,65,82,
PRD000899H04,94,61,78,
PRD000900H04,94,35,69,
PRD000901H04,88,63,76,
PRD000902H04,79,34,55,
PRD000903H04,85,39,61,
PRD000904H04,100,54,76,
PRD000905H04,97,76,91,
PRD000906H04,100,62,83,
PRD000907H04,91,46,71,
PRD000908H04,82,31,58,
PRD000909H04,87,35,63,
PRD000910H04,87,41,61,
PRD000911H04,84,41,63,
PRD000912H04,76,37,57,
PRD000913H04,73,35,54,
PRD000914H04,68,30,46,
PRD000915H04,64,25,45,
PRD000916H04,100,48,76,
PRD000917H04,94,46,68,
PRD000918H04,94,52,69,
PRD000919H04,90,61,77,
PRD000920H04,87,63,76,
PRD000921H04,91,61,75,
PRD000922H04,88,57,70,
PRD000923H04,88,50,70,
PRD000924H04,94,40,63,
PRD000925H04,97,42,69,
PRD000926H04,94,79,88,
PRD000927H04,82,41,60,
PRD000928H04,82,29,49,
PRD000929H04,79,54,67,
PRD000930H04,97,67,80,
PRD000931H04,88,39,62,
PRD000932H04,94,44,59,
PRD000933H04,90,70,80,
PRD000934H04,88,34,67,
PRD000935H04,87,30,56,
PRD000936H04,79,30,52,
PRD000937H04,91,41,69,
PRD000938H04,77,46,61,
PRD000939H04,82,34,56,
PRD000940H04,94,77,88,
PRD000941H04,91,58,72,
PRD000942H04,91,62,79,
PRD000943H04,81,41,58,
PRD000944H04,94,37,62,
PRD000945H04,94,32,61,
PRD000946H04,90,61,75,
PRD000947H04,84,40,62,
PRD000948H04,87,41,63,
PRD000949H04,90,37,62,
PRD000950H04,94,62,79,
PRD000951H04,84,51,67,
PRD000952H04,94,42,60,
PRD000953H04,90,54,72,
PRD000954H04,66,25,44,
PRD000955H04,74,32,52,
PRD000956H04,88,63,76,
PRD000957H04,90,65,77,
PRD000958H04,87,41,62,
PRD000959H04,90,39,67,
PRD000960H04,91,36,59,
PRD000961H04,94,74,87,
PRD000962H04,90,54,71,
PRD000963H04,93,43,67,
PRD000964H04,93,69,81,
PRD000965H04,96,59,78,
PRD000966H04,93,84,89,
PRD000967H04,91,39,64,
PRD000968H04,81,21,46,
PRD000969H04,60,23,37,
PRD000970H04,56,37,47,
PRD000971H04,90,30,57,
PRD000972H04,87,68,78,
PRD000973H04,79,45,66,
PRD000974H04,87,41,55,
PRD000975H04,97,39,78,
PRD000976H04,93,81,87,
