var_name,precip_depth_sum_mm,ref_date
PRD000075H21,0,
PRD000075H20,0,
PRD000075H19,0,
PRD000075H18,0,
PRD000075H17,0,
PRD000075H16,0,
PRD000075H15,0,
PRD000075H14,0,
PRD000075H13,0,
PRD000075H12,0,
PRD000075H11,0,
PRD000075H10,0,
PRD000075H09,0,
PRD000075H08,0,
PRD000075H07,0,
PRD000075H06,0,
PRD000075H05,0,
PRD000075H04,,
PRD000075H03,,
PRD000075H02,,
PRD000075H01,,
PRD000075H00,0,
PRD000076H23,0,
PRD000076H22,0,
PRD000076H21,0,
PRD000076H20,0,
PRD000076H19,0,
PRD000076H18,0,
PRD000076H17,0,
PRD000076H16,0,
PRD000076H15,0,
PRD000076H14,0,
PRD000076H13,0,
PRD000076H12,0,
PRD000076H11,0,
PRD000076H10,0,
PRD000076H09,0,
PRD000076H08,0,
PRD000076H07,0,
PRD000076H06,0,
PRD000076H05,0,
PRD000076H04,0,
PRD000076H03,0,
PRD000076H02,0,
PRD000076H01,0,
PRD000076H00,0,
PRD000077H23,0,
PRD000077H22,0,
PRD000077H21,0,
PRD000077H20,0,
PRD000077H19,0,
PRD000077H18,0,
PRD000077H17,0,
PRD000077H16,0,
PRD000077H15,0,
PRD000077H14,0,
PRD000077H13,0,
PRD000077H12,0,
PRD000077H11,0,
PRD000077H10,0,
PRD000077H09,0,
PRD000077H08,0,
PRD000077H07,0,
PRD000077H06,0,
PRD000077H05,0,
PRD000077H04,0,
PRD000077H03,0,
PRD000077H02,0,
PRD000077H01,0,
PRD000077H00,0,
PRD000078H23,0,
PRD000078H22,0,
PRD000078H21,0,
PRD000078H20,0,
PRD000078H19,0,
PRD000078H18,0,
PRD000078H17,0,
PRD000078H16,0,
PRD000078H15,0,
PRD000078H14,0,
PRD000078H13,,
PRD000078H12,0,
PRD000078H11,0,
PRD000078H10,0,
PRD000078H09,0,
PRD000078H08,0,
PRD000078H07,0,
PRD000078H06,0,
PRD000078H05,0,
PRD000078H04,0,
PRD000078H03,0,
PRD000078H02,0,
PRD000078H01,0,
